date,Linux,OSX,Windows
2014-02-01,0.86,3.47,94.93
2014-03-01,1.3,3.42,95.17
2014-04-01,1.2,3.54,95.12
2014-05-01,1.26,3.36,95.25
2014-06-01,1.1,3.3,95.5
2014-07-01,1.2,3.59,95.04
2014-08-01,1.11,3.39,95.37
2014-09-01,1.06,3.37,95.47
2014-10-01,1.16,3.42,95.35
2014-11-01,1.12,3.36,95.38
2014-12-01,1.13,3.27,95.49
2015-01-01,1.16,3.46,95.28
2015-02-01,1.09,3.32,95.48
2015-03-01,1.02,3.23,95.68
2015-04-01,1.06,3.43,95.43
2015-05-01,0.9400000000000001,3.16,95.81
2015-06-01,0.88,3.23,95.79
2015-07-01,0.87,3.22,95.77
2015-08-01,0.89,3.23,95.79
2015-09-01,0.92,3.22,95.76
2015-10-01,0.9400000000000001,3.23,95.71
2015-11-01,0.9500000000000001,3.49,95.45
2015-12-01,0.98,3.64,95.26
2016-01-01,0.96,3.56,95.39
2016-02-01,0.9500000000000001,3.55,95.39
2016-03-01,0.91,3.4,95.59
2016-04-01,0.85,3.32,95.7
2016-05-01,0.9,3.5700000000000003,95.43
2016-06-01,0.84,3.6,95.42
2016-07-01,0.8,3.6,95.5
2016-08-01,0.81,3.37,95.7
2016-09-01,0.8300000000000001,3.34,95.71
2016-10-01,0.93,3.54,95.42
2016-11-01,0.89,3.52,95.46
2016-12-01,0.88,3.59,95.4
2017-01-01,0.8,3.31,95.75
2017-02-01,0.8,3.31,95.79
2017-03-01,0.75,3.17,95.96
2017-04-01,0.77,3.11,96.05
2017-05-01,0.76,2.99,96.13
2017-06-01,0.81,3.05,96.06
2017-07-01,0.72,2.95,96.24
2017-08-01,0.74,3.06,96.12
2017-09-01,0.63,3.03,96.3
2017-10-01,0.6000000000000001,2.74,96.6
2017-11-01,0.32,1.56,98.04
2017-12-01,0.27,1.35,98.33
2018-01-01,0.26,1.42,98.24
2018-02-01,0.41000000000000003,1.8399999999999999,97.76
2018-03-01,0.28,1.33,98.31
2018-04-01,0.33,1.6400000000000001,97.94
2018-05-01,0.55,2.93,96.43
2018-06-01,0.5700000000000001,3.07,96.3
2018-07-01,0.52,2.93,96.52
2018-08-01,0.49,2.66,96.77
2018-09-01,0.59,2.87,96.44
2018-10-01,0.78,2.93,96.29
2018-11-01,0.72,2.84,96.44
2018-12-01,0.8,3.2,96.0
2019-01-01,0.8200000000000001,3.31,95.86
2019-02-01,0.8200000000000001,3.27,95.92
2019-03-01,0.77,3.11,96.12
2019-04-01,0.8200000000000001,3.27,95.91
2019-05-01,0.81,3.06,96.12
2019-06-01,0.84,3.26,95.9
2019-07-01,0.76,2.75,96.49
2019-08-01,0.79,2.93,96.28
2019-09-01,0.8,2.99,96.2
2019-10-01,0.8300000000000001,3.07,96.1
2019-11-01,0.8300000000000001,3.14,96.02
2019-12-01,0.81,2.92,96.28
2020-01-01,0.67,2.47,96.86
2020-02-01,0.9,3.01,96.09
2020-03-01,0.8300000000000001,3.15,96.02
2020-04-01,0.87,3.8,95.33
2020-05-01,0.89,4.05,95.06
2020-06-01,0.91,4.04,95.05
2020-07-01,0.88,3.46,95.66
2020-08-01,0.86,3.2,95.94
2020-09-01,0.89,3.34,95.76
2020-10-01,0.9400000000000001,3.46,95.61
2020-11-01,0.9,3.45,95.65
2020-12-01,0.9,3.37,95.73
